Name,Tags,Server end time,Duration,g_mean,population,generations,crossover,factor
d70aee66f403443da0b6787ebc3a78f9,MultinomialNB,1601923026549,8,0.789642,46,82,0.8373,0.3984
e7330c1841594a70911ff14380181d00,MultinomialNB,1601923146348,4,0.789642,46,82,0.8373,0.3984
c73d9fdcf8694d1c9a1c7f1980719817,MultinomialNB,1601923146149,4,0.789642,46,82,0.8373,0.3984
db6b8c0e42a943e3a8a4b1977afd2d8a,MultinomialNB,1601923139277,7,0.789642,46,82,0.8373,0.3984
4e612f977f564864abfb2fac81b35053,MultinomialNB,1601923139189,7,0.789642,46,82,0.8373,0.3984
676836d23ee14988be92738948e82182,MultinomialNB,1601923128931,4,0.789642,46,82,0.8373,0.3984
840e12c27e43410bb698440f70a0d2ef,MultinomialNB,1601923128729,4,0.789642,46,82,0.8373,0.3984
bb638f45783542aa9d04d90a26feac46,MultinomialNB,1601923121790,4,0.789642,46,82,0.8373,0.3984
cb54f02cce1041a69f165db4cd2c037f,MultinomialNB,1601923121527,4,0.789642,46,82,0.8373,0.3984
959b3211435e4d478e30fbc91da6aa5e,MultinomialNB,1601923113922,8,0.789642,46,82,0.8373,0.3984
603304bb5148477cbff1cf314634d3eb,MultinomialNB,1601923113601,7,0.789642,46,82,0.8373,0.3984
44862ba89e4143668d63d11a48671a53,MultinomialNB,1601923103399,8,0.789642,46,82,0.8373,0.3984
65ebf45629234c7db2c0ec5dc6d8c548,MultinomialNB,1601923102961,9,0.789642,46,82,0.8373,0.3984
cd62b882f3804253a6fd87fb1cf60aef,MultinomialNB,1601923091764,4,0.789642,46,82,0.8373,0.3984
cb502b2efa6f4a22ae2b33daa8b194bf,MultinomialNB,1601923091198,4,0.789642,46,82,0.8373,0.3984
01e716510cc34253847c0dab3c545bcf,MultinomialNB,1601923084895,7,0.789642,46,82,0.8373,0.3984
bd0ce188835c409abb2be05c1e94e4bc,MultinomialNB,1601923083699,6,0.789642,46,82,0.8373,0.3984
